Source: ACS 5-Year Estimates - Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: default universe (usually US)"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes","Total","Male","Female"
"EDU-Library Technicians","60779","15651","45128"
"EDU-Teaching Assistants","1526488","232454","1294034"
"EDU-Other Educational Instruction and Library Workers","150810","41380","109430"
"ENT-Artists And Related Workers","268984","135845","133139"
"ENT-Commercial And Industrial Designers","26029","17367","8662"
"ENT-Fashion Designers","38189","7278","30911"
"ENT-Floral Designers","89104","11834","77270"
"ENT-Graphic Designers","358609","166897","191712"
"ENT-Interior Designers","114062","17504","96558"
"ENT-Merchandise Displayers And Windows Trimmers","19026","8572","10454"
"ENT-Other Designers","417983","233407","184576"
"ENT-Actors","80958","42817","38141"
"ENT-Producers And Directors","184206","114040","70166"
"ENT-Athletes And Sports Competitors","49006","40951","8055"
"ENT-Coaches And Scouts","331693","178107","153586"
"ENT-Umpires, Referees, And Other Sports Officials","70789","56195","14594"
"ENT-Dancers And Choreographers","28635","5204","23431"
"ENT-Music Directors And Composers","57555","35857","21698"
"ENT-Musicians And Singers","208969","135866","73103"
"ENT-Disc Jockeys, Except Radio","4023","3251","772"
"ENT-Entertainers And Performers, Sports And Related Workers, All Other","60876","31864","29012"
"ENT-Broadcast Announcers And Radio Disc Jockeys","52980","41166","11814"
"ENT-News Analysts, Reporters, And Journalists","89603","48171","41432"
"ENT-Public Relations Specialists","157531","54141","103390"
"ENT-Editors","221781","97299","124482"
"ENT-Technical Writers","72215","31814","40401"
"ENT-Writers And Authors","303181","120581","182600"
"ENT-Interpreters And Translators","128708","35911","92797"
"ENT-Court Reporters And Simultaneous Captioners","39814","4839","34975"
"ENT-Media And Communications Workers, All Other","24739","14268","10471"
"ENT-Photographers","238585","119147","119438"
"ENT-Television, Video, And Motion Picture Camera Operators And Editors","77890","63198","14692"
"ENT-Other Media And Communication Equipment Workers","106662","96821","9841"
"MED-Chiropractors","64707","45651","19056"
"MED-Dentists","186771","129805","56966"
"MED-Dietitians And Nutritionists","119293","12168","107125"
"MED-Optometrists","42015","23944","18071"
"MED-Pharmacists","340958","150894","190064"
"MED-Physician Assistants","116563","37326","79237"
"MED-Podiatrists","9281","6904","2377"
"MED-Occupational Therapists","122115","13577","108538"
"MED-Physical Therapists","265747","80521","185226"
"MED-Radiation Therapists","17092","4912","12180"
"MED-Recreational Therapists","14835","3284","11551"
"MED-Respiratory Therapists","125434","45128","80306"
"MED-Speech-Language Pathologists","176358","7801","168557"
"MED-Other Therapists","197943","38426","159517"
"MED-Veterinarians","88114","35781","52333"
"MED-Registered Nurses","3627970","380943","3247027"
"MED-Nurse Anesthetists","33595","14216","19379"
"MED-Audiologists","18591","3166","15425"
"MED-Nurse Practitioners And Nurse Midwives","175012","16722","158290"
"MED-Physicians","952665","598942","353723"
"MED-Surgeons","49862","42143","7719"
"MED-Acupuncturists","20741","6671","14070"
"MED-Dental Hygienists","202943","9731","193212"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","13258","2797","10461"
"MED-Clinical Laboratory Technologists And Technicians","380780","100773","280007"
"MED-Cardiovascular Technologists And Technicians","39711","13136","26575"
"MED-Diagnostic Medical Sonographers","85358","17406","67952"
"MED-Radiologic Technologists And Technicians","228550","68325","160225"
"MED-Magnetic Resonance Imaging Technologists","37235","15024","22211"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","22052","8642","13410"
"MED-Emergency Medical Technicians","132144","82856","49288"
"MED-Paramedics","106550","77669","28881"
"MED-Pharmacy Technicians","427384","88398","338986"
"MED-Psychiatric Technicians","52458","17699","34759"
"MED-Surgical Technologists","112428","29159","83269"
"MED-Veterinary Technologists And Technicians","131432","15914","115518"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","27876","4546","23330"
"MED-Licensed Practical And Licensed Vocational Nurses","1037315","123874","913441"
"MED-Medical Records Specialists","201092","18306","182786"
"MED-Opticians, Dispensing","73802","20208","53594"
"MED-Miscellaneous Health Technologists And Technicians","170180","58290","111890"
"MED-Other Healthcare Practitioners And Technical Occupations","94048","33681","60367"
"HLS-Home Health Aides","599246","60617","538629"
"HLS-Personal Care Aides","1803770","288827","1514943"
"HLS-Nursing Assistants","1856707","207370","1649337"
"HLS-Orderlies And Psychiatric Aides","81292","44175","37117"
"HLS-Occupational Therapy Assistants And Aides","32642","4135","28507"
"HLS-Physical Therapist Assistants And Aides","106850","32206","74644"
